comment_id	parent_id	author_name	author_url	comment_text	published_at	like_count
		@delialiquin8038	https://www.youtube.com/@delialiquin8038	"Una voz tan poderosa que traspasa los sentidos!!! Lo que llore con nuestra musa Celine Dion lo qué viví al escucharte jamás lo olvidaré !  Marcaste la Historia Universal !!! Muchas Gracias por dedicarnos tanta entrega!!!! "	""	6
		@Kanard28400	https://www.youtube.com/@Kanard28400	"Play-back ...!"	""	0
		@bernardcharton8257	https://www.youtube.com/@bernardcharton8257	"Magistrale interprétation par la grande Star Cèline,Magnifique!"	""	2
		@kennethscott5210	https://www.youtube.com/@kennethscott5210	"The beautiful Celine, lady gaga, Billie and Christine,  all makes synchronistic sense to me.  It's called the power of  through  and    ."	""	3
		@SteelOnVR	https://www.youtube.com/@SteelOnVR	""	""	1
		@lucabenatti950	https://www.youtube.com/@lucabenatti950	" i love"	""	1
		@markusbuettinghaus8060	https://www.youtube.com/@markusbuettinghaus8060	"Ich liebe dich...."	""	0
		@Hvk_support	https://www.youtube.com/@Hvk_support	"Merci c'était si émouvant "	""	2
		@carlosrodriguez7916	https://www.youtube.com/@carlosrodriguez7916	"Iconic "	""	4
		@ericschneider8154	https://www.youtube.com/@ericschneider8154	"Cette interprétation me laisse sans voix. Merci Céline"	""	6
		@alany8563	https://www.youtube.com/@alany8563	"Love from Hong Kong, to Celine Dion & Edith PiafSuch great artists"	""	4
		@Jose.David_2006	https://www.youtube.com/@Jose.David_2006	""	""	1
		@Jose.David_2006	https://www.youtube.com/@Jose.David_2006	""	""	1
		@Jose.David_2006	https://www.youtube.com/@Jose.David_2006	""	""	1
		@JonnyTainment	https://www.youtube.com/@JonnyTainment	"The Paris Opening Ceremonies was mostly a banana show.

Celine's performance was possibly the best thing of the night! The most no-nonsense moment of the evening!

️"	""	2
		@maicon.93	https://www.youtube.com/@maicon.93	"this performance is HISTORIC..."	""	3
		@anakin62630	https://www.youtube.com/@anakin62630	"Cette nuit fut pluvieuse et fantastique ! 
Pour l’éternité "	""	12
		@montsefernandez4220	https://www.youtube.com/@montsefernandez4220	""	""	1
		@fredericzamofing713	https://www.youtube.com/@fredericzamofing713	"L'une des plus belles interprétations de l'Histoire"	""	11
		@anthonyroy8540	https://www.youtube.com/@anthonyroy8540	"A ma nation, ma Terre France..... "	""	7
		@anthonyroy8540	https://www.youtube.com/@anthonyroy8540	""	""	1
		@psyicst	https://www.youtube.com/@psyicst	""	""	1
		@angelasapere9973	https://www.youtube.com/@angelasapere9973	"🇮🇪🇮🇪"	""	1
		@isabellefassin2111	https://www.youtube.com/@isabellefassin2111	"Je la dédie à mon ami 󠁧󠁢󠁳󠁣󠁴󠁿🇬🇧merci Céline sublime ️🇧🇪"	""	1
		@abdelhakallouche1866	https://www.youtube.com/@abdelhakallouche1866	"De quelle amour vous parlez espèce d hypocrites"	""	0
		@riman.1649	https://www.youtube.com/@riman.1649	"Celine on t'a tant attendu on a tant prié pour toi. C'était comme un miracle pour nous de t'entendre cette soirée. Que Dieu te donne la santé. Maintenant Céline c'est ton tour de prier pour un pays très malade le Liban attend un miracle comme le tien"	""	4
		@rany_bttb	https://www.youtube.com/@rany_bttb	"La plus belle chanson du monde et quel hommage qualitatif à l'attention d'Édith, merci Céline !
"Dieu réunit ceux qui s'aiment". "	""	11
		@lessonsdelorangeYouTube	https://www.youtube.com/@lessonsdelorangeYouTube	"en playback, Hélas.."	""	0
		@MinenhleNsibande-m8z	https://www.youtube.com/@MinenhleNsibande-m8z	"Always be you Céline Dion  "	""	0
		@corine988	https://www.youtube.com/@corine988	""	""	0
		@kanenas12	https://www.youtube.com/@kanenas12	"why after so much time ? why why why ? this is one of the best songs ever. This should be out that week. I dont get why they didnt want an instant no1"	""	0
		@jmscourrieu9403	https://www.youtube.com/@jmscourrieu9403	"Une telle émotion de part le monde.  Un retour tellement espéré et attendu, que du bonheur. Merci Céline."	""	3
